Title,Name,Name_original,CV,Element,Class,Limit?,Release,Weapon_on,Weapon_final,Weapon_wait,From_3_to_4,,,
Kiniro Mosaic,Oomiya Isami_newyear,勇【お正月】,田村ゆかり,f,a,1,2017/12/30,,,1075,X,,last update:,2020/12/10
Urara Meirochou,Tatsumi Kon,巽 紺,本渡楓,s,w,0,2018/5/9,,,945,X,,,
Yuyushiki,Matsumoto Yoriko,松本 頼子,堀江由衣,s,a,0,2018/6/6,,,917,X,,,
Urara Meirochou,Yukimi Koume,雪見 小梅,久保ユリカ,m,m,0,2018/6/20,,,903,X,,,
A Channel,Tennouji Nagisa,ナギ,内山夕実,e,a,0,2018/9/1,,,830,X,,,
A Channel,Nishi Yuuko,ユー子,寿美菜子,e,m,0,2018/9/17,,,814,X,,,
Urara Meirochou,Natsume Nono,棗 ノノ,佳村はるか,w,p,0,2018/1/10,2020/3/31,,811,253+,,,
NEW GAME!,Takimoto Hifumi,滝本 ひふみ,山口愛,m,m,0,2018/3/12,2020/4/23,,773,230+,,,
Sakura Trick,Sonoda Yuu,園田 優,井口裕香,s,w,0,2018/3/28,2020/3/31,,734,253+,,,
NEW GAME!,Iijima Yun_hinamatsuri,ゆん【ひな祭り】,竹尾歩美,e,k,1,2018/2/27,2020/2/28,,731,285+,,,
Blend S,Hoshikawa Mafuyu,星川 麻冬,春野杏,m,p,0,2018/10/17,2020/10/13,,727,57+,,,
Yumekui Merry,Tachibana Isana_hinamatsuri,勇魚【ひな祭り】,茅野愛衣,a,m,1,2018/3/5,2020/2/28,,725,285+,,,
A Channel,Ichii Tooru_xmas,トオル【クリスマス】,悠木碧,w,a,1,2018/12/18,2020/12/10,,723,-1+,,,
Kirara Fantasia,Lamp,ランプ,高野麻里佳,s,a,0,2019/1/17,2020/12/10,,693,-1+,,,
School-Live!,Sakura Megumi,佐倉 慈,茅野愛衣,a,a,0,2019/1/17,,,692,X,,,
Kiniro Mosaic,Oomiya Shinobu,大宮 忍,西明日香,f,p,0,2018/5/23,2020/3/31,,678,253+,,,
Kirara Fantasia,Archive,アルシーヴ,沢城みゆき,m,m,1,2019/1/29,2020/12/10,,681,-1+,,,
Magic of Stella,Fujikawa Kayo,藤川 歌夜,悠木碧,a,a,0,2018/5/16,2020/3/13,2020/7/9,667,118,,,
Slow Start,Sengoku Kamuri,千石 冠,長縄まりあ,s,a,0,2018/9/12,2020/7/9,,666,153+,,,
Kirara Fantasia,Sugar,シュガー,井口裕香,e,w,1,2019/2/27,,,651,X,,,
Slow Start,Hannen Hiroe,万年 大会,内田真礼,a,k,0,2019/3/13,,,637,X,,,
Kirara Fantasia,Polka,ポルカ,松井恵理子,f,w,0,2019/3/4,2020/11/25,,632,14+,,,
Anne Happy,Kumegawa Botan,久米川 牡丹,安野希世乃,m,p,0,2019/3/18,,,632,X,,,
Kirara Fantasia,Cork,コルク,桑原由気,w,a,0,2019/3/4,2020/11/11,,618,28+,,,
Kirara Fantasia,Ginger,ジンジャー,渕上舞,s,w,1,2019/4/29,,,590,X,,,
Kiniro Mosaic,Komichi Aya_valentine,綾【バレンタイン】,種田梨沙,m,a,1,2018/1/31,2019/8/27,2020/1/30,573,156,,,
Kiniro Mosaic,Inokuma Youko_sports,陽子【運動會】,内山夕実,s,w,1,2019/5/15,,,574,X,,,
NEW GAME!,Suzukaze Aoba_sports,青葉【運動會】,高田憂希,w,k,1,2019/5/15,,,574,X,,,
Slow Start,Tokura Eiko_sports,栄依子【運動會】,嶺内ともみ,e,a,1,2019/5/15,,,574,X,,,
Kill Me Baby,Sonya,ソーニャ,田村睦心,e,w,0,2018/3/16,2019/10/8,2020/5/14,571,219,,,
Yuru Camp,Shima Rin_traveller,【荒野の旅人】リン,東山奈央,f,w,1,2019/5/30,,,559,X,,,
Kiniro Mosaic,Kujou Karen_magician,カレン【舶來の魔術師】,東山奈央,s,m,1,2019/6/1,,,557,X,,,
Anne Happy,Hibarigaoka Ruri,雲雀丘 瑠璃,白石晴香,a,m,0,2018/10/29,2020/4/23,,542,230+,,,
A Channel,Momoki Run,るん,福原香織,s,p,0,2018/4/17,2019/10/8,2020/5/14,539,219,,,
NEW GAME!,Hoshikawa Hotaru,星川 ほたる,石見舞菜香,a,m,0,2019/6/19,,,539,X,,,
NEW GAME!,Mochizuki Momiji,望月 紅葉,鈴木亜理沙,e,w,0,2019/6/21,,,537,X,,,
NEW GAME!,Narumi Tsubame,鳴海 ツバメ,大和田仁美,e,k,0,2019/6/21,,,537,X,,,
NEW GAME!,Tooyama Rin,遠山 りん,茅野愛衣,f,p,0,2019/7/5,,,523,X,,,
Kirara Fantasia,Sesame,セサミ,赤﨑千夏,a,m,1,2019/7/13,2020/11/11,,487,28+,,,
Yuyushiki,Ichii Yui,櫟井 唯,津田美波,w,k,0,2018/1/19,2019/5/15,2019/11/1,481,170,,,
Kiniro Mosaic,Alice Cartelet,アリス・カータレット,田中真奈美,f,a,0,2019/8/27,,,470,X,,,
Kiniro Mosaic,Matsubara Honoka,松原 穂乃花,諏訪彩花,m,w,0,2019/8/27,,,470,X,,,
Hidamari Sketch,Hiro,ヒロ,後藤邑子,s,m,0,2019/9/13,,,453,X,,,
Kirara Fantasia,Salt,ソルト,田中真奈美,w,w,1,2019/9/14,,,452,X,,,
Magic of Stella,Murakami Shiina_valentine,椎奈【バレンタイン】,村川梨衣,w,w,1,2018/1/31,2019/4/25,2020/1/30,449,280,,,
Slow Start,Momochi Tamate,百地 たまて,伊藤彩沙,a,w,0,2018/12/25,2020/3/13,2020/7/9,444,118,,,
Harumination,Hosono Harumi,細野 はるみ,大森日雅,f,w,0,2019/10/8,,,428,X,,,
Harukana Receive,Thomas Claire_halloween,クレア【ハロウィン】,種﨑敦美,m,k,1,2019/10/16,,,420,X,,,
Is the Order a Rabbit?,Tedeza Rize_halloween,リゼ【ハロウィン】,種田梨沙,a,w,1,2019/10/16,,,420,X,,,
Yuyushiki,Aikawa Chiho,相川 千穂,茅野愛衣,e,p,0,2019/11/1,,,404,X,,,
Yuyushiki,Ichii Yui,櫟井 唯,津田美波,a,k,0,2019/11/1,,,404,X,,,
NEW GAME!,Ahagon Umiko,阿波根 うみこ,森永千才,w,w,0,2019/11/9,,,396,X,,,
Blend S,Hinata Kaho,日向 夏帆,鬼頭明里,f,k,0,2019/11/21,,,384,X,,,
Yumekui Merry,Engi Threepiece,エンギ・スリーピース,遠藤綾,m,k,0,2019/11/9,2020/11/25,,382,14+,,,
Yumekui Merry,Tachibana Isana,橘 勇魚,茅野愛衣,w,p,0,2019/11/21,,,384,X,,,
School-Live!,Ebisuzawa Kurumi_swimsuit,くるみ【水著】,小澤亜李,m,k,1,2019/7/31,2020/8/12,,378,119+,,,
Urara Meirochou,Chiya_xmas,千矢【クリスマス】,原田彩楓,w,p,1,2017/12/18,2018/12/27,2019/5/30,374,154,,,
Blend S,Sakuranomiya Maika_swimsuit,苺香【水着】,和氣あず未,a,a,1,2019/7/24,2020/7/29,,371,133+,,,
Yuru Camp,Kagamihara Nadeshiko,各務原 なでしこ,花守ゆみり,a,w,0,2019/1/9,2020/1/15,,371,329+,,,
A Channel,Nishi Yuuko_xmas,ユー子【クリスマス】,寿美菜子,m,k,1,2017/12/22,2018/12/27,2019/3/28,370,91,,,
K-ON!,Hirasawa Yui_swimsuit,唯【水著】,豊崎愛生,a,p,1,2019/8/8,2020/8/12,,370,119+,,,
Blend S,Hinata Kaho_newyear,夏帆【お正月】,鬼頭明里,m,m,1,2018/12/27,2019/12/31,,369,344+,,,
Kill Me Baby,Oribe Yasuna_newyear,やすな【お正月】,赤﨑千夏,f,p,1,2018/12/27,2019/12/31,,369,344+,,,
Hidamari Sketch,Yuno_xmas,ゆの【クリスマス】,阿澄佳奈,s,m,1,2018/12/11,2019/12/11,2020/11/25,365,350,,,
Yumekui Merry,Merry Nightmare_xmas,メリー【クリスマス】,佐倉綾音,f,k,1,2018/12/11,2019/12/11,2020/11/25,365,350,,,
K-ON!,Akiyama Mio_valentine,澪【バレンタイン】,日笠陽子,m,w,1,2019/1/31,2020/1/30,,364,314+,,,
